value_score,usage_score,risk_score,growth_score,support_score,segment
3.012589721156596,7.175775490648419,-4.5288143166550965,-0.4175136813842426,8.848001437618148,4
-6.0111723836314255,0.814522683871393,10.062645294857273,6.8986569805942075,7.805690415131453,1
-1.5856490525011186,5.336673600899269,1.3837646822746832,-4.492051374658529,2.622241126530781,0
0.7540401279461098,7.4974252329410325,-6.085391643641278,9.133767617493648,-3.9062246669394147,2
2.747563505004184,8.011820958382273,-3.5629799569423457,0.1301682403075944,9.774206116613058,4
1.1424553686000003,0.3522871077555223,0.5665496581847725,-2.341233386672114,3.7284914943074203,0
-1.7677503368352756,-0.235246803295025,-2.4891981773151652,-2.0514296282800086,-9.436281878257478,3
-0.6724931894529576,-0.5645671651449607,-3.1181450292373984,-3.4464182257164113,-10.780616002384676,3
1.4780180787173607,8.69409204341159,-3.520751678242105,0.3010154182751029,9.931723438820283,4
-1.6410680388463583,2.9725127117121812,-0.9830687854214415,-2.2790872716592334,3.048835931697869,0
-1.025924914666154,5.834803853649178,-3.3669399097053216,9.062893816237633,-3.0538755276109484,2
2.492084208340815,5.911709511370874,-2.457301006831126,1.176354798762023,8.263316169294209,4
-3.384544501201123,1.292507784761942,8.180031591885394,5.355527261347548,5.040608282782762,1
-1.242442365044006,1.1474333723839065,-1.4928849512647244,-1.99868133906711,-7.9735986972989386,3
-0.7815847279436378,-0.7964440292760191,-3.10140962383315,-0.3904582905788012,-9.22536043190758,3
-0.5044209419692054,5.404938187090703,1.5273601855455208,-3.1330736215293316,5.584304916977377,0
-8.798422058773825,0.5601024507628722,10.29535783380383,7.476737693012591,4.0989208958758425,1
3.6233012013172843,7.215241525531086,-2.2229894081543704,-2.1622387666552743,8.645021840637012,4
3.8664001373418255,6.986800663350363,-2.3019591164809454,0.6892354812100919,6.486073962349346,4
3.2308010479759366,5.737326910903441,-1.0714778536427871,-0.07862141172334706,9.800635521478222,4
-2.5926631160935107,-2.5492501627698,-0.9267831933802748,-3.291657643828648,-10.109322867345433,3
-2.4343535499063886,2.7263840104483887,-0.18287374232336284,-4.605813958955517,2.1937477276040935,0
-6.934156459543194,0.48177908177855433,11.023951806687494,7.9624649528525175,6.636046793522233,1
-0.7583909935178941,2.9192785130509606,1.6484959966385822,-3.5032479654734954,4.1012130436725505,0
-2.0999036529419053,-0.9342626261165649,-2.743433456272448,-2.9718739571127575,-10.620065010806968,3
-7.318313104878567,1.1259495590398672,9.872185998350297,8.537167003776382,5.182294655995065,1
-1.5124027224194605,3.0469165400199474,2.849563558944019,-4.438309798844943,2.3576494927823264,0
-0.6756203680006393,6.351004416871994,-4.163222964609166,8.204857604801996,-4.424590713666044,2
-6.677867749158795,2.956613702574612,8.803223573665397,9.627951197633351,6.264875699338547,1
